date,type,locale_name,description
2012-03-02,Holiday,Manta,Fundacion de Manta
2012-04-12,Holiday,Cuenca,Fundacion de Cuenca
2012-04-14,Holiday,Libertad,Cantonizacion de Libertad
2012-04-21,Holiday,Riobamba,Cantonizacion de Riobamba
2012-05-12,Holiday,Puyo,Cantonizacion del Puyo
2012-06-23,Holiday,Guaranda,Cantonizacion de Guaranda
2012-06-25,Holiday,Latacunga,Cantonizacion de Latacunga
2012-06-25,Holiday,Machala,Fundacion de Machala
2012-07-03,Holiday,Santo Domingo,Fundacion de Santo Domingo
2012-07-03,Holiday,El Carmen,Cantonizacion de El Carmen
2012-07-23,Holiday,Cayambe,Cantonizacion de Cayambe
2012-08-05,Holiday,Esmeraldas,Fundacion de Esmeraldas
2012-08-15,Holiday,Riobamba,Fundacion de Riobamba
2012-08-24,Holiday,Ambato,Fundacion de Ambato
2012-09-28,Holiday,Ibarra,Fundacion de Ibarra
2012-10-07,Holiday,Quevedo,Cantonizacion de Quevedo
2012-11-10,Holiday,Guaranda,Independencia de Guaranda
2012-11-11,Holiday,Latacunga,Independencia de Latacunga
2012-11-12,Holiday,Ambato,Independencia de Ambato
2012-12-05,Additional,Quito,Fundacion de Quito-1
2012-12-06,Holiday,Quito,Fundacion de Quito
2012-12-08,Holiday,Loja,Fundacion de Loja
2012-12-22,Holiday,Salinas,Cantonizacion de Salinas
2013-03-02,Holiday,Manta,Fundacion de Manta
2013-04-12,Holiday,Cuenca,Fundacion de Cuenca
2013-04-14,Holiday,Libertad,Cantonizacion de Libertad
2013-04-21,Holiday,Riobamba,Cantonizacion de Riobamba
2013-05-12,Holiday,Puyo,Cantonizacion del Puyo
2013-06-23,Holiday,Guaranda,Cantonizacion de Guaranda
2013-06-25,Holiday,Machala,Fundacion de Machala
2013-06-25,Holiday,Latacunga,Cantonizacion de Latacunga
2013-07-03,Holiday,El Carmen,Cantonizacion de El Carmen
2013-07-03,Holiday,Santo Domingo,Fundacion de Santo Domingo
2013-07-23,Holiday,Cayambe,Cantonizacion de Cayambe
2013-07-24,Additional,Guayaquil,Fundacion de Guayaquil-1
2013-07-25,Holiday,Guayaquil,Fundacion de Guayaquil
2013-08-05,Holiday,Esmeraldas,Fundacion de Esmeraldas
2013-08-15,Holiday,Riobamba,Fundacion de Riobamba
2013-08-24,Holiday,Ambato,Fundacion de Ambato
2013-09-28,Holiday,Ibarra,Fundacion de Ibarra
2013-10-07,Holiday,Quevedo,Cantonizacion de Quevedo
2013-11-10,Holiday,Guaranda,Independencia de Guaranda
2013-11-11,Holiday,Latacunga,Independencia de Latacunga
2013-11-12,Holiday,Ambato,Independencia de Ambato
2013-12-05,Additional,Quito,Fundacion de Quito-1
2013-12-06,Holiday,Quito,Fundacion de Quito
2013-12-08,Holiday,Loja,Fundacion de Loja
2013-12-22,Holiday,Salinas,Cantonizacion de Salinas
2014-03-02,Holiday,Manta,Fundacion de Manta
2014-04-12,Holiday,Cuenca,Fundacion de Cuenca
2014-04-14,Holiday,Libertad,Cantonizacion de Libertad
2014-04-21,Holiday,Riobamba,Cantonizacion de Riobamba
2014-05-12,Holiday,Puyo,Cantonizacion del Puyo
2014-06-23,Holiday,Guaranda,Cantonizacion de Guaranda
2014-06-25,Holiday,Latacunga,Cantonizacion de Latacunga
2014-06-25,Holiday,Machala,Fundacion de Machala
2014-07-03,Holiday,El Carmen,Cantonizacion de El Carmen
2014-07-03,Holiday,Santo Domingo,Fundacion de Santo Domingo
2014-07-23,Holiday,Cayambe,Cantonizacion de Cayambe
2014-07-24,Additional,Guayaquil,Fundacion de Guayaquil-1
2014-07-25,Holiday,Guayaquil,Fundacion de Guayaquil
2014-08-05,Holiday,Esmeraldas,Fundacion de Esmeraldas
2014-08-15,Holiday,Riobamba,Fundacion de Riobamba
2014-08-24,Holiday,Ambato,Fundacion de Ambato
2014-09-28,Holiday,Ibarra,Fundacion de Ibarra
2014-10-07,Holiday,Quevedo,Cantonizacion de Quevedo
2014-11-10,Holiday,Guaranda,Independencia de Guaranda
2014-11-11,Holiday,Latacunga,Independencia de Latacunga
2014-11-12,Holiday,Ambato,Independencia de Ambato
2014-12-05,Additional,Quito,Fundacion de Quito-1
2014-12-06,Holiday,Quito,Fundacion de Quito
2014-12-08,Holiday,Loja,Fundacion de Loja
2014-12-22,Holiday,Salinas,Cantonizacion de Salinas
2015-03-02,Holiday,Manta,Fundacion de Manta
2015-04-12,Holiday,Cuenca,Fundacion de Cuenca
2015-04-14,Holiday,Libertad,Cantonizacion de Libertad
2015-04-21,Holiday,Riobamba,Cantonizacion de Riobamba
2015-05-12,Holiday,Puyo,Cantonizacion del Puyo
2015-06-23,Holiday,Guaranda,Cantonizacion de Guaranda
2015-06-25,Holiday,Machala,Fundacion de Machala
2015-06-25,Holiday,Latacunga,Cantonizacion de Latacunga
2015-07-03,Holiday,El Carmen,Cantonizacion de El Carmen
2015-07-03,Holiday,Santo Domingo,Fundacion de Santo Domingo
2015-07-23,Holiday,Cayambe,Cantonizacion de Cayambe
2015-07-24,Holiday,Guayaquil,Fundacion de Guayaquil-1
2015-07-25,Holiday,Guayaquil,Fundacion de Guayaquil
2015-08-05,Holiday,Esmeraldas,Fundacion de Esmeraldas
2015-08-15,Holiday,Riobamba,Fundacion de Riobamba
2015-08-24,Holiday,Ambato,Fundacion de Ambato
2015-09-28,Holiday,Ibarra,Fundacion de Ibarra
2015-10-07,Holiday,Quevedo,Cantonizacion de Quevedo
2015-11-10,Holiday,Guaranda,Independencia de Guaranda
2015-11-11,Holiday,Latacunga,Independencia de Latacunga
2015-11-12,Holiday,Ambato,Independencia de Ambato
2015-12-05,Additional,Quito,Fundacion de Quito-1
2015-12-06,Holiday,Quito,Fundacion de Quito
2015-12-08,Holiday,Loja,Fundacion de Loja
2015-12-22,Holiday,Salinas,Cantonizacion de Salinas
2016-03-02,Holiday,Manta,Fundacion de Manta
2016-04-12,Holiday,Cuenca,Fundacion de Cuenca
2016-04-14,Holiday,Libertad,Cantonizacion de Libertad
2016-04-21,Holiday,Riobamba,Cantonizacion de Riobamba
2016-05-12,Holiday,Puyo,Cantonizacion del Puyo
2016-06-23,Holiday,Guaranda,Cantonizacion de Guaranda
2016-06-25,Holiday,Machala,Fundacion de Machala
2016-06-25,Holiday,Latacunga,Cantonizacion de Latacunga
2016-07-03,Holiday,El Carmen,Cantonizacion de El Carmen
2016-07-03,Holiday,Santo Domingo,Fundacion de Santo Domingo
2016-07-23,Holiday,Cayambe,Cantonizacion de Cayambe
2016-07-24,Additional,Guayaquil,Fundacion de Guayaquil-1
2016-07-25,Holiday,Guayaquil,Fundacion de Guayaquil
2016-08-05,Holiday,Esmeraldas,Fundacion de Esmeraldas
2016-08-15,Holiday,Riobamba,Fundacion de Riobamba
2016-08-24,Holiday,Ambato,Fundacion de Ambato
2016-09-28,Holiday,Ibarra,Fundacion de Ibarra
2016-10-07,Holiday,Quevedo,Cantonizacion de Quevedo
2016-11-10,Holiday,Guaranda,Independencia de Guaranda
2016-11-11,Holiday,Latacunga,Independencia de Latacunga
2016-11-12,Holiday,Ambato,Independencia de Ambato
2016-12-05,Additional,Quito,Fundacion de Quito-1
2016-12-06,Holiday,Quito,Fundacion de Quito
2016-12-08,Holiday,Loja,Fundacion de Loja
2016-12-22,Holiday,Salinas,Cantonizacion de Salinas
2017-03-02,Holiday,Manta,Fundacion de Manta
2017-04-12,Holiday,Cuenca,Fundacion de Cuenca
2017-04-13,Transfer,Cuenca,Fundacion de Cuenca
2017-04-14,Holiday,Libertad,Cantonizacion de Libertad
2017-04-21,Holiday,Riobamba,Cantonizacion de Riobamba
2017-05-12,Holiday,Puyo,Cantonizacion del Puyo
2017-06-23,Holiday,Guaranda,Cantonizacion de Guaranda
2017-06-25,Holiday,Latacunga,Cantonizacion de Latacunga
2017-06-25,Holiday,Machala,Fundacion de Machala
2017-07-03,Holiday,El Carmen,Cantonizacion de El Carmen
2017-07-03,Holiday,Santo Domingo,Fundacion de Santo Domingo
2017-07-23,Holiday,Cayambe,Cantonizacion de Cayambe
2017-07-24,Additional,Guayaquil,Fundacion de Guayaquil-1
2017-07-25,Additional,Guayaquil,Fundacion de Guayaquil
